name,model,frequency,train_window_size,test_window_size,mean_absolute_error,mape,rmse,rmse_1st,rmse_2nd,rmse_3rd,mape_1st,mape_2nd,mape_3rd,mda,regression_mda,upper_confidence_interval_95percent_1st,lower_confidence_interval_95percent_1st,upper_confidence_interval_99percent_1st,lower_confidence_interval_99percent_1st,upper_confidence_interval_95percent_2nd,lower_confidence_interval_95percent_2nd,upper_confidence_interval_99percent_2nd,lower_confidence_interval_99percent_2nd,upper_confidence_interval_95percent_3rd,lower_confidence_interval_95percent_3rd,upper_confidence_interval_99percent_3rd,lower_confidence_interval_99percent_3rd,fillna,timestamp
crude_oil,Simple Exponential Smoothing,Monthly,24,3,1.563,0.024,2.237,1.626,2.251,2.701,0.018,0.025,0.03,0.488,0.5159411404046598,76.4,66.275,96.699,45.976,73.852,68.823,84.017,58.659,76.4,66.275,96.699,45.976,forward_fill,2023-06-27 20:45:21
crude_oil,Linear Regression,Monthly,24,3,2.438,0.038,3.308,2.869,3.301,3.702,0.033,0.039,0.043,0.507,0.5076640098099325,76.437,66.231,96.897,45.771,73.873,68.792,84.146,58.519,76.462,66.2,97.035,45.627,forward_fill,2023-06-27 20:45:30
