name,model,train_window_size,test_window_size,mean_absolute_error,mape,rmse,rmse_1st,rmse_2nd,rmse_3rd,mape_1st,mape_2nd,mape_3rd,timestamp
Crude_Oil_Dataset,"Arima(1,1,0)",24,3,7.104,0.12489314528628447,9.732334674864438,5.779,9.714,12.506,0.075,0.128,0.171,2023-06-04 22:19:10
Crude_Oil_Dataset,"Arima(1,1,1)",24,3,7.198,0.12578957698276552,9.922446272715767,5.86,9.79,12.852,0.074,0.13,0.174,2023-06-04 22:19:24
Crude_Oil_Dataset,"Arima(1,1,2)",24,3,7.116,0.12477837460561154,9.86773794897182,6.032,9.747,12.678,0.076,0.13,0.168,2023-06-04 22:20:03
Crude_Oil_Dataset,"Arima(1,1,3)",24,3,7.382,0.1304716039227378,10.313189391243581,6.246,10.293,13.195,0.079,0.138,0.175,2023-06-04 22:21:10
Crude_Oil_Dataset,"Arima(1,1,4)",24,3,7.522,0.13243958194096406,10.575874295543738,6.229,10.547,13.62,0.079,0.14,0.179,2023-06-04 22:22:48
Crude_Oil_Dataset,"Arima(1,2,0)",24,3,10.049,0.17222764561311155,14.154177951935214,6.742,13.158,19.556,0.086,0.172,0.259,2023-06-04 22:22:54
Crude_Oil_Dataset,"Arima(1,2,1)",24,3,8.556,0.14756975395358504,12.007423368814425,6.273,11.398,16.226,0.079,0.149,0.214,2023-06-04 22:23:20
Crude_Oil_Dataset,"Arima(1,2,2)",24,3,8.164,0.14237660271297617,11.22494180305276,6.155,10.737,14.995,0.078,0.145,0.205,2023-06-04 22:24:06
Crude_Oil_Dataset,"Arima(1,2,3)",24,3,8.278,0.14320631085546667,11.548027701653458,6.501,11.13,15.295,0.08,0.148,0.202,2023-06-04 22:25:28
Crude_Oil_Dataset,"Arima(1,2,4)",24,3,8.473,0.14680958518856277,11.730205847027326,6.901,11.442,15.305,0.083,0.153,0.205,2023-06-04 22:27:13
Crude_Oil_Dataset,"Arima(1,3,0)",24,3,19.212,0.3162042131962244,28.19710830091738,9.406,23.073,42.005,0.121,0.292,0.535,2023-06-04 22:27:20
Crude_Oil_Dataset,"Arima(1,3,1)",24,3,10.687,0.1824402071740825,15.272462533197142,6.95,13.949,21.375,0.088,0.181,0.278,2023-06-04 22:27:51
Crude_Oil_Dataset,"Arima(1,3,2)",24,3,10.492,0.17887984495468795,15.00647649324814,6.947,13.692,20.973,0.088,0.179,0.27,2023-06-04 22:28:49
Crude_Oil_Dataset,"Arima(1,3,3)",24,3,10.64,0.1824865682177531,15.320562988022273,7.252,13.904,21.407,0.091,0.182,0.275,2023-06-04 22:30:18
Crude_Oil_Dataset,"Arima(1,3,4)",24,3,10.158,0.17480478812232716,14.260480277865328,7.286,13.238,19.538,0.089,0.175,0.26,2023-06-04 22:32:11
Crude_Oil_Dataset,"Arima(2,0,0)",24,3,7.497,0.13385211550648007,10.622347067999133,5.982,10.486,13.884,0.079,0.139,0.184,2023-06-04 22:32:29
Crude_Oil_Dataset,"Arima(2,0,1)",24,3,7.843,0.13840414124250605,10.95558546394602,6.222,10.748,14.347,0.08,0.144,0.191,2023-06-04 22:33:02
Crude_Oil_Dataset,"Arima(2,0,2)",24,3,7.894,0.1405675244883243,11.047382024572839,6.456,10.879,14.356,0.082,0.147,0.193,2023-06-04 22:34:09
Crude_Oil_Dataset,"Arima(2,0,3)",24,3,8.454,0.14972876276661726,11.538415150763969,7.014,11.521,14.747,0.09,0.159,0.201,2023-06-04 22:35:55
Crude_Oil_Dataset,"Arima(2,0,4)",24,3,8.892,0.15597432485199628,12.045723265968851,7.133,11.93,15.559,0.093,0.163,0.212,2023-06-04 22:38:11
Crude_Oil_Dataset,"Arima(2,1,0)",24,3,7.139,0.125402645727045,9.869660917492773,5.931,9.786,12.7,0.074,0.129,0.173,2023-06-04 22:38:21
Crude_Oil_Dataset,"Arima(2,1,1)",24,3,7.194,0.12600846582210268,10.025136202419617,6.074,9.888,12.917,0.076,0.13,0.172,2023-06-04 22:38:44
Crude_Oil_Dataset,"Arima(2,1,2)",24,3,7.548,0.1340906242398969,10.406164696862154,6.287,10.386,13.322,0.079,0.143,0.181,2023-06-04 22:39:45
Crude_Oil_Dataset,"Arima(3,0,0)",24,3,7.432,0.1327983969796977,10.576006831220697,6.088,10.378,13.813,0.078,0.137,0.183,2023-06-04 23:34:59
Crude_Oil_Dataset,"Arima(3,0,1)",24,3,7.692,0.1379617683547615,10.904756809910939,6.294,10.656,14.268,0.081,0.143,0.191,2023-06-04 23:35:56
Crude_Oil_Dataset,"Arima(3,0,2)",24,3,7.963,0.14424910364680876,11.156047887819067,6.598,11.075,14.394,0.084,0.151,0.198,2023-06-04 23:37:25
Crude_Oil_Dataset,"Arima(3,0,3)",24,3,8.169,0.14469346534915653,11.096229149475251,6.707,11.099,14.185,0.088,0.153,0.192,2023-06-04 23:39:35
Crude_Oil_Dataset,"Arima(3,0,4)",24,3,8.492,0.150181967368171,11.511243882385129,7.128,11.579,14.583,0.094,0.159,0.197,2023-06-04 23:42:08
Crude_Oil_Dataset,"Arima(3,1,0)",24,3,7.295,0.12779033229435624,10.053062804300112,6.149,10.008,12.854,0.076,0.133,0.174,2023-06-04 23:42:24
Crude_Oil_Dataset,"Arima(3,1,1)",24,3,7.348,0.12955709181230904,10.318906486122017,6.102,10.21,13.34,0.077,0.134,0.178,2023-06-04 23:43:04
Crude_Oil_Dataset,"Arima(3,1,2)",24,3,7.666,0.13576951781702007,10.66878999644987,6.236,10.693,13.72,0.078,0.143,0.186,2023-06-04 23:44:26
Crude_Oil_Dataset,"Arima(3,1,3)",24,3,7.445,0.13172406924453417,10.37969427009557,6.122,10.148,13.518,0.075,0.138,0.182,2023-06-04 23:46:40
Crude_Oil_Dataset,"Arima(3,1,4)",24,3,8.0,0.1390583070200362,11.076858679376656,6.686,11.076,14.168,0.082,0.146,0.189,2023-06-04 23:49:14
Crude_Oil_Dataset,"Arima(3,2,0)",24,3,9.215,0.16237671762569958,12.94229490304051,6.895,12.387,17.365,0.086,0.165,0.236,2023-06-04 23:49:32
Crude_Oil_Dataset,"Arima(3,2,1)",24,3,8.598,0.14845193293874404,11.93870975409579,6.677,11.703,15.686,0.081,0.152,0.213,2023-06-04 23:50:27
Crude_Oil_Dataset,"Arima(3,2,2)",24,3,8.93,0.15568740614222767,12.703949862029864,6.893,12.367,16.844,0.085,0.16,0.223,2023-06-04 23:51:54
Crude_Oil_Dataset,"Arima(3,2,3)",24,3,8.795,0.15333996015792065,11.88235659024716,6.598,11.56,15.697,0.084,0.161,0.215,2023-06-04 23:54:03
Crude_Oil_Dataset,"Arima(3,2,4)",24,3,8.938,0.1563822135643443,12.102105222345209,6.884,11.741,15.942,0.088,0.158,0.223,2023-06-04 23:56:35
Crude_Oil_Dataset,"Arima(3,3,0)",24,3,14.767,0.25656240751939635,21.010791529339098,8.497,18.252,30.316,0.109,0.247,0.414,2023-06-04 23:56:54
Crude_Oil_Dataset,"Arima(3,3,1)",24,3,10.001,0.1749567956812834,14.346574337072768,7.217,13.455,19.605,0.089,0.175,0.26,2023-06-04 23:58:02
Crude_Oil_Dataset,"Arima(3,3,2)",24,3,10.756,0.18524908041832347,15.240060062767968,7.532,14.295,20.874,0.092,0.185,0.279,2023-06-04 23:59:34
Crude_Oil_Dataset,"Arima(3,3,3)",24,3,10.876,0.1865429464582626,15.34946809689668,7.717,14.554,20.868,0.096,0.188,0.276,2023-06-05 00:01:48
Crude_Oil_Dataset,"Arima(3,3,4)",24,3,11.309,0.19574914300495638,15.589400366099662,7.627,14.585,21.405,0.096,0.197,0.295,2023-06-05 00:04:26
Crude_Oil_Dataset,"Arima(4,0,0)",24,3,7.844,0.13898277028059733,10.953460012861827,6.402,10.795,14.227,0.082,0.144,0.191,2023-06-05 00:05:12
Crude_Oil_Dataset,"Arima(4,0,1)",24,3,7.995,0.14170012024690803,11.14455784984244,6.615,11.061,14.37,0.084,0.148,0.193,2023-06-05 00:06:37
Crude_Oil_Dataset,"Arima(4,0,2)",24,3,7.863,0.14091335487097054,11.018331409474573,6.651,10.989,14.114,0.084,0.147,0.192,2023-06-05 00:08:55
Crude_Oil_Dataset,"Arima(4,0,3)",24,3,8.111,0.1409698753342609,11.368323212319481,6.859,11.261,14.624,0.084,0.148,0.191,2023-06-05 00:11:32
Crude_Oil_Dataset,"Arima(4,0,4)",24,3,8.637,0.15214839325487864,11.68167057915831,7.248,11.855,14.707,0.095,0.163,0.199,2023-06-05 00:14:27
Crude_Oil_Dataset,"Arima(4,1,0)",24,3,7.462,0.13054473945362627,10.498104729509748,6.289,10.338,13.572,0.076,0.136,0.18,2023-06-05 00:14:50
Crude_Oil_Dataset,"Arima(4,1,1)",24,3,7.467,0.13137115351420361,10.50993827841934,6.376,10.443,13.479,0.078,0.137,0.179,2023-06-05 00:16:01
Crude_Oil_Dataset,"Arima(4,1,2)",24,3,7.682,0.13538062697384334,10.727920745869978,6.616,10.728,13.653,0.08,0.142,0.184,2023-06-05 00:18:05
Crude_Oil_Dataset,"Arima(4,1,3)",24,3,7.88,0.14051758857445396,10.920186463905962,6.416,10.687,14.226,0.083,0.146,0.192,2023-06-05 00:20:34
Crude_Oil_Dataset,"Arima(4,1,4)",24,3,8.342,0.1461675930175026,11.404847940444425,6.815,11.476,14.563,0.086,0.155,0.198,2023-06-05 00:23:23
Crude_Oil_Dataset,"Arima(4,2,0)",24,3,9.188,0.15871084502792085,12.589946457206086,6.875,12.216,16.704,0.084,0.163,0.229,2023-06-05 00:23:50
Crude_Oil_Dataset,"Arima(4,2,1)",24,3,8.768,0.15075635860050388,12.111737767766884,6.762,11.888,15.907,0.082,0.157,0.213,2023-06-05 00:25:07
Crude_Oil_Dataset,"Arima(4,2,2)",24,3,8.59,0.14849055573752734,11.742777357726634,6.824,11.459,15.355,0.085,0.153,0.207,2023-06-05 00:27:03
Crude_Oil_Dataset,"Arima(4,2,3)",24,3,8.726,0.1529899445855188,11.979785057753721,6.765,11.492,15.897,0.087,0.156,0.215,2023-06-05 00:29:33
Crude_Oil_Dataset,"Arima(4,2,4)",24,3,9.091,0.1562496299233015,12.09010423477033,7.016,11.921,15.722,0.088,0.163,0.217,2023-06-05 00:32:25
Crude_Oil_Dataset,"Arima(4,3,0)",24,3,13.478,0.22879649681983116,19.350750076013487,8.118,17.198,27.599,0.105,0.221,0.361,2023-06-05 00:32:54
Crude_Oil_Dataset,"Arima(4,3,1)",24,3,10.326,0.1768377036178218,14.542536465216912,7.273,13.737,19.82,0.089,0.18,0.261,2023-06-05 00:34:33
Crude_Oil_Dataset,"Arima(4,3,2)",24,3,11.383,0.19610026558318394,16.087557794960034,7.809,14.85,22.247,0.098,0.195,0.296,2023-06-05 00:36:41
Crude_Oil_Dataset,"Arima(4,3,3)",24,3,20635.234,235.42826038802508,238173.1520248509,198058.277,234388.963,275706.518,182.916,249.013,274.356,2023-06-05 00:39:13
Crude_Oil_Dataset,"Arima(4,3,4)",24,3,11.683,0.2011638737137883,15.661361790766401,7.758,14.946,21.267,0.099,0.207,0.298,2023-06-05 00:42:03
